,Household Median Income 2017
Alabama,"50,659"
Alaska,"72,036"
Arizona,"61,000"
Arkansas,"48,667"
California,"69,688"
Colorado,"73,965"
Connecticut,"72,629"
Delaware,"62,403"
District of Columbia,"83,260"
Florida,"53,516"
Georgia,"56,942"
Hawaii,"73,840"
Idaho,"60,000"
Illinois,"64,476"
Indiana,"59,051"
Iowa,"63,200"
Kansas,"57,848"
Kentucky,"51,552"
Louisiana,"43,630"
Maine,"51,805"
Maryland,"80,518"
Massachusetts,"73,386"
Michigan,"57,806"
Minnesota,"71,649"
Mississippi,"43,014"
Missouri,"56,890"
Montana,"58,600"
Nebraska,"59,942"
Nevada,"56,000"
New Hampshire,"74,598"
New Jersey,"72,883"
New Mexico,"48,060"
New York,"62,326"
North Carolina,"50,100"
North Dakota,"59,966"
Ohio,"59,516"
Oklahoma,"55,000"
Oregon,"64,772"
Pennsylvania,"63,033"
Rhode Island,"65,144"
South Carolina,"54,962"
South Dakota,"56,833"
Tennessee,"55,000"
Texas,"59,000"
Utah,"70,845"
Vermont,"64,000"
Virginia,"71,532"
Washington,"75,350"
West Virginia,"45,006"
Wisconsin,"64,003"
Wyoming,"58,009"
